Data,SKU,Produto,Quantidade
06/03/2025,2085A,Notebook Ultrafino,30
12/03/2025,1679C,Notebook Ultrafino,57
21/01/2025,7824D,Headset Gamer,20
10/01/2025,2580D,Headset Gamer,19
20/02/2025,9491C,Headset Gamer,127
04/02/2025,3443C,Notebook Ultrafino,114
02/03/2025,8046A,Hub USB 3.0,46
16/03/2025,5470C,Headset Gamer,60
26/01/2025,6656A,Carregador USB-C,2
16/01/2025,7435B,Carregador USB-C,75
20/01/2025,4177B,Hub USB 3.0,3
04/01/2025,2443D,Power Bank 10000mAh,113
06/03/2025,9530B,Fonte 500W,34
27/02/2025,3898B,Controle Xbox,56
15/02/2025,7076B,Adaptador Bluetooth,104
23/02/2025,3760A,Roteador Wi-Fi,60
03/02/2025,6331D,Carregador USB-C,130
28/01/2025,5264C,Placa de Vídeo 4GB,147
05/02/2025,6321A,Fonte 500W,36
18/03/2025,7774B,Roteador Wi-Fi,58
02/02/2025,8679B,Roteador Wi-Fi,7
26/03/2025,5949A,Headset Gamer,39
09/01/2025,1256C,Fonte 500W,148
07/01/2025,5437A,Headset Gamer,95
20/03/2025,4002D,Cadeira Gamer,111
14/03/2025,2083A,Cabo HDMI,92
06/02/2025,5959C,Controle Xbox,75
06/02/2025,9079D,Carregador USB-C,135
10/01/2025,2168A,Power Bank 10000mAh,115
23/03/2025,9002A,Controle Xbox,121
01/03/2025,6492A,Power Bank 10000mAh,116
12/03/2025,9527D,Fonte 500W,45
16/02/2025,9530B,Fonte 500W,145
14/01/2025,7774B,Roteador Wi-Fi,105
09/02/2025,9646A,Fonte 500W,71
22/03/2025,1675A,HD Externo 1TB,17
30/01/2025,6959C,Cooler para CPU,59
13/01/2025,5337A,HD Externo 1TB,52
17/02/2025,3984B,Fonte 500W,114
07/03/2025,5564B,Controle Xbox,17
17/03/2025,2485D,Notebook Ultrafino,39
25/01/2025,8046A,Hub USB 3.0,142
08/03/2025,5334B,Headset Gamer,120
16/03/2025,2083A,Cabo HDMI,111
03/02/2025,1466B,Controle Xbox,48
07/03/2025,3443C,Notebook Ultrafino,87
16/03/2025,5334B,Headset Gamer,42
10/01/2025,1885B,Carregador USB-C,87
02/03/2025,5337A,HD Externo 1TB,73
23/02/2025,5827A,Controle Xbox,63
17/03/2025,5334B,Headset Gamer,98
